k_tree,Adrb3,Adora2a,Gnb1,Gnb3,Cckbr,Mc4r,Crhr2,Gna13,Htr1f,Gnai1,Gnas,Gabrg1,Gng12,Mchr1,Galr2,Reln,Grm1,Drd3,Grin2a,Gnaq,Chrm1,Mc1r,Gabrr2,Penk,Chrm3,Gabra2,Grm3,Rln1,Gabrq,Gnb5,Glp1r,Gad1,Grm5,Sstr1,Npy,Gng7,Chrna3,P2rx5,Rxfp1,Gnao1,Slc1a6,Sstr2,Oprl1,Gabra4,Ghrl,Gabrr1,Gng2,Grin2d,Htr7,Gabrg2,Calcr,Hcrtr1,Drd5,Grik4,Ache,Adora2b,Ntsr1,Chrnb1,Drd4,Adra1a,Htr1d,Cckar,Ntrk2,Htr5b,Gnb2,Igf1r,Hcrtr2,Htr2a,P2ry13,Gabrd,Gal,Npr1,Slc1a2,Npffr2,Adra2c,Adra2a,Gria3,Slc17a8,Insr,Ryr3,Ryr1,Slc17a7,Oxtr,Gabrb1,Adcyap1r1,Qrfpr,Htr6,Cck,Th,P2rx6,P2ry6,Grik5,Slc32a1,Vipr2,Adora1,Grik3,Slc18a3,Tshr,Grm7,Tac1,Slc5a7,P2rx4,Oprm1,Agrp,Esr1,Bdnf,Chrna5,Chrna9,Chrnb3,Sst,P2rx3,Calcrl,Gng8,P2ry1,Npy5r,Gnai2,Grm8,Npsr1,Slc18a2,Gna11,Lepr,Trhr,Kiss1r,Grm2,Nmur1,Insrr,Ntsr2,Hcrt,Htr2c,Chrng,Gna12,Pnoc,Ghrh,Gabbr2,Htr5a,Gabra5,Gabrb3,Gnb4,Drd1,Ryr2,Kiss1,Chat,Prlr,Npy1r,Npffr1,Adra1b,Gria2,Htr4,Gng5,Gpr149,Adra2b,Grik1,P2rx2,Grid2,Gabra1,Prokr2,Grid1,Gabrg3,Gpr83,Npr2,Grin3b,Grik2,Vipr1,Chrna7,Gria4,Gabrb2,Nmur2,Galr1,Htr1b,Pdyn,Chrm2,P2ry12,Gabbr1,Sstr3,Oprk1,Tacr3,Trhr2,Gpr55,Cntf,Slc1a1,Gad2,Slc6a1,Grp,Gnai3,P2rx7,Ghr,P2ry14,Pomc,Gria1,Gabra6,Gng13,Npy2r,Adcyap1,Nmb,Adrb2,Grin2c,Grm4,Drd2,Crhr1,Chrna1,Nmu,Ddc,Rxfp2,Slc17a6,Tacr1,Chrnb2,Gng11,Grin1,Htr2b,Grpr,Chrna4,Oprd1,Adrb1,Adrm1,Adra1d,Nts,Gabre,Npr3,Cntfr,Nmbr,Gnal,Gng4,Grin3a,Grin2b,Gabra3,Gng3,Gng10
0,0.014336596633525182,0.017055989848474663,1.0519751085722049,0.004714672301989772,0.013372905067709879,0.0,0.0060029265434355765,0.19080063418265233,0.11919976793036509,0.45736174657746453,1.142988358898162,0.31168275806436474,0.4624407466950046,0.0076439663122662045,0.0,0.28221139914820204,0.6210584974320577,0.003990797613752848,0.8442604137015405,1.1070622997557582,0.0075279198231964165,0.0069443166215880925,0.009604527356887771,0.0043141607667469386,0.9121526131364667,1.2562704033040688,0.8497316586147063,0.0,0.017981134885674842,0.18976226402111374,0.0,0.20463694787593278,2.4182650705017448,0.011616803212509616,0.06890490330356269,0.22266061201195733,0.0736901710404491,0.006953069827310858,0.03254039821905377,1.3966740664771649,0.09069854910318637,0.0419829210043142,0.04735447566416528,0.45879518312631234,0.004537423454944215,0.0,0.4701875970413941,0.41773963494022004,0.24733492194228365,0.44223111636200024,0.012592019659709727,0.024819169676276273,0.003637319572618628,0.8391007697826735,0.2002673281173556,0.022475819921951558,0.03948542119511224,0.008919579139862245,0.004269794944373677,0.08527873099486666,0.0036601825551423888,0.010198060097193342,1.5810042762241678,0.010927685361855954,0.45815841106026683,1.0266888004635595,0.1346285706690536,0.0597510975770057,0.0037912995356498224,0.028280306238482367,0.031095476316776605,0.010021505880854037,0.6530939018020284,0.004491949957811241,0.0032099573843981854,0.001521476660861414,0.7199037080095714,0.0034387067993600488,0.507967669185213,1.2017903819918336,0.15795777400081243,0.08371942336056179,0.021065574692221825,1.763641968960554,0.23955158612715477,0.009045404125860825,0.0025740184794330687,0.1201031035441093,0.003120998546535096,0.01993745317712947,0.015601931359513696,0.7496029914132954,0.03456319153739155,0.07407376658214253,0.0729534741117693,1.0206912395932943,0.0,0.03007015630738311,2.169091575346792,0.01043220765490749,0.07857087530630923,0.20320699727416958,0.18880661419784087,0.02415866056090946,0.0461156518718879,0.12910728299489244,0.010887427119263183,0.011345177424590722,0.013217572055551276,0.028934504820017703,0.010063150690397437,0.17038363752923882,0.010866484668785396,0.00905342548518362,0.023850575163911928,0.2146212046303906,0.7654667236243822,0.7255433550906564,0.07668618000178377,0.16034705959863232,0.05603033006916005,0.008107538750122621,0.02799733119569265,0.059902987469777125,0.0019903549811310667,0.001235627447141023,0.014866789086386724,0.001060865647892247,0.2548620493432738,0.0024750191205141856,0.2340439787139068,0.024221373617016092,0.0,1.2486854928803697,0.007604908954258143,0.2502970981470016,1.6328752133944036,0.3877265389708365,0.021291736890009485,0.8145278928503614,0.0,0.010009502446757525,0.15981554885780663,0.02510844531408612,0.09129364266894459,0.04936903494547011,2.351777311829306,0.18647331222619176,0.020217499402725617,0.08391179773128059,0.001283323177978734,1.6602249824751354,0.03307318908771084,2.446355440650836,0.22730247937219253,0.005027186602274694,1.757667118450683,0.9758095918071165,0.01683074735356825,0.1888213034920003,0.006021394137938745,2.0432214053366167,0.030530866319743177,0.26299862916462624,2.0100613839960872,0.963469047059629,0.006678411733765856,0.011341431232482333,0.03375175270575068,0.0017454639801512994,0.5793316733910717,0.29935494247112704,0.6749151551177925,0.0,0.164005101553916,0.027858904871801263,0.001235627447141023,0.0022790541845599454,0.006288142262547809,0.5744826684954887,0.23118512953696285,0.38926391541162153,0.007317319825128826,0.26952528933092595,0.04745497486586033,0.4044222136712179,0.6411317777478601,0.0033682400620536467,1.5137290009591653,0.0,0.0016493701485184302,0.005416038829594458,0.036232085557893104,0.02526493176301824,0.01476903941474339,0.003693731566097131,0.36040933364472616,0.045396919857599964,0.09074367701392268,0.005971728603540678,0.008445332096681541,0.03348977740937407,0.013580790693952991,0.5451092343490697,0.05711707081787751,0.04963572465671448,0.019462508425233543,0.6585556739494589,0.12691924073034852,0.0,0.07235824525267424,0.0211479169658993,0.0167036030653091,0.09187319004529412,0.004835408904113614,0.015587799238343138,0.007167445313419067,0.0143916941941661,0.2698293459357318,0.016543871220413568,0.6439799289857785,0.13937538142439898,0.9603717077562968,1.8572932940969225,0.4883687328579599,0.21029780387439817,0.04048721782282699
1,0.09020245494467742,0.009318220632636548,0.5590570780785914,0.0,0.3279959373082885,0.0,0.0,0.32028403580723247,0.05780504162971621,0.05650123834603234,0.9116908872349907,0.06588044120007465,0.32967002163583187,0.0,0.0,0.6000627319065264,0.08065179527002143,0.0,0.7746698799566867,1.2295263059005361,0.012606478346209867,0.011827346250349867,0.035793017236081574,0.0,0.20447005916575367,0.20203459911241647,0.3932619099371226,0.0,0.0,0.07625541452970049,0.0,0.10356806949924321,0.3644475360116054,0.0023919347455111806,0.03716858182455225,0.15237165044190004,0.0,0.0,0.017388951663780565,0.8245462762822887,0.011186777856231952,0.005851324779457568,0.010262815952817986,0.07993678904339488,0.005760529402731048,0.05162348558751605,0.1624492460785482,0.043891914906201826,0.03238992510993748,0.04300740130510213,0.0,0.0,0.0,0.8445544335842423,0.041127846532327164,0.042780855032671164,0.0,0.011635245004757492,0.0,0.07266554475776812,0.0,0.0,1.585380248933541,0.054077719171053286,0.22853857368402225,1.6076718783688562,0.033207816035219336,0.0035244436293493738,0.010090589441896938,0.0028200513070258185,0.008569261611453428,0.002119397689190022,0.6520400408209213,0.004710011322559097,0.0,0.016046279786917656,0.16830259811000725,0.043771048690349,0.823793537484822,0.1642719350487793,0.007022310969093448,0.019274829754865365,0.0,1.4987244896935126,0.11872261380758921,0.0,0.0,0.03871484615055841,0.0,0.852468687864072,0.016711245716758555,0.3685834880005054,0.0,0.03964771034624303,0.0515328280636974,0.07545098829436321,0.0,0.1597175557238831,0.2998774980614036,0.005022327437161924,0.0,0.27300900224587266,0.04368515502476932,0.05032875110561902,0.12352828287063217,0.021997678421291255,0.0,0.012028214445651789,0.0,0.013226009424458158,0.13309422477938893,0.06410945849016787,0.0,0.015515770686581939,0.0,0.3558994920364962,0.18272696019778878,0.007656410578118964,0.014037408393031735,0.0960281659963087,0.005663106475956476,0.0,0.0,0.0028200513070258185,0.01991957600445491,0.0,0.00495408626983274,0.011272314385374313,0.21479982061462988,0.00324624885650798,0.22542413999245758,0.028773687930633368,0.02977279784527896,0.16107025285845758,0.0,0.02194191457715753,0.33505371128257166,0.05119927411601186,0.0,0.9757909065989951,0.0,0.0,0.01668084335504017,0.0128462010409209,0.017064896620052426,0.01426793451085977,0.3182203480234643,0.009793722216242666,0.11993900328482353,0.052832863093646404,0.011505894987890296,0.19580071027237855,0.0,1.3812650761589975,0.013021158891704266,0.0,0.5494588658881429,1.302096058897991,0.0016696869566532658,0.1579459505103132,0.00324624885650798,1.281668452888175,0.004099394655738101,0.032297022665975235,0.2735895634395992,0.0943678894986515,0.011266246528345349,0.0,0.0,0.004196515789284187,0.04561179475284675,0.12858901746549165,0.3993280630377174,0.0,0.02705837988541597,0.013816324747518332,0.0,0.35013145360787434,0.01965596849903303,0.20088071867700094,0.01679484703354728,0.18966579020069155,0.02504900740419044,0.20012914333371576,0.2431438467023189,0.47591561223657536,0.19104358928785625,0.02184881815232029,0.2682591495794023,0.006425084010741542,0.022408615201802064,0.11564925598138398,0.0,0.046861277902107666,0.0,0.006739754047826612,0.0343199846142982,0.0,0.0023919347455111806,0.0,0.0,0.006236576235369603,0.012368963954200098,0.04040292310739927,0.009318220632636548,0.006132387718830495,0.017091406551261616,0.05948614245767267,0.047332463688233246,0.006669246889384291,0.005022327437161924,0.01914981352197341,0.13986133085372987,0.02910417553783648,0.0,0.0,0.019233697312838825,0.003985591143214178,0.17841880155055043,0.019936794712688447,0.5419084291035187,0.014266905077200069,0.2567540113194893,0.20766397620085142,0.06569217231747769,0.040953389649803745,0.02810480891427725
2,0.0038460013439172032,0.013594756289348378,1.048963654778553,0.0025965755247440124,0.01607761191657523,0.0,0.0022529592544032104,0.1734686842520254,0.20457040261867235,0.5149211567221499,1.1407900988186792,0.20223739468550306,0.28315121709145036,0.0,0.002456301916759449,0.04444282678589804,1.57109011177024,0.011493987440125992,0.2853876919142201,1.1244940837401887,0.006590074578877631,0.003845359381672805,0.0,0.00640961108548008,1.1953082909612889,1.3059996022563483,0.9871831832505259,0.0,0.0,0.20179725085602176,0.0,0.04317646925952414,2.835385008944998,0.003845359381672805,0.02551531532220708,0.1457676309608187,0.026512097116793525,0.017773942784676866,0.6131799149313212,1.2219228185822553,0.1525438207717765,0.036505025876133995,0.04034823527369204,0.4588450768222808,0.0062759001551920225,0.009045797234496882,0.6362863090182476,0.5508375793698782,0.5255703896116983,0.534824336224894,0.0,0.005551785664041954,0.009610403763792606,0.5445000256692607,0.35381138456500566,0.004227870991166291,0.0,0.01853662041353982,0.005359462134045419,0.037265229706317356,0.012813109661577806,0.0023160847978016055,1.4384494477385472,0.008196964022576535,0.4250118455289738,0.7408526794425452,0.04001634221413595,0.008966057108245516,0.004283648067271612,0.02591654022128336,0.08104445453878226,0.02769836867715772,0.8816509259632593,0.023928480335648865,0.0,0.0062759001551920225,0.7071700544207141,0.005030510567327686,0.5384631110131909,2.367533226932461,0.25581405738897284,0.385539930966625,0.0027919209644537246,1.6880013438075905,0.19443566432000556,0.05655024793367447,0.0,0.3759245591517995,0.0,0.04068330994174885,0.00443469667503041,0.7078746166588402,0.0,0.6238230547862231,0.22051114538447233,1.1204820621185758,0.0,0.03871536351739097,2.6747510561947774,0.0031402273171686223,0.02833663044928797,0.20498539590409276,0.16095557757027698,0.016078643961637964,0.05013720323418812,0.05794345170765832,0.0,0.014329864864478938,0.0,0.0,0.010395299607713383,0.07129750130084979,0.0,0.036768092993619564,0.009700376543385996,0.13863424948969086,0.5394467423780512,0.17077187012172856,0.45089840270757275,0.1510540847969479,0.030222479474951117,0.0037842604047284194,0.03214632936147069,0.038088675160120225,0.007392660821339401,0.0,0.041933709835951245,0.0,0.1560128302846113,0.0,0.3063324207363215,0.0627199223527794,0.0,1.6292093532416303,0.009097424573245163,0.2591413711731126,1.5914574490835276,0.33290261931466986,0.0,0.5725793828740353,0.0025965755247440124,0.0,0.06617771980332221,0.03792528107489243,0.015302544358160855,0.035007283528581484,2.782949708191709,0.11632747726187612,0.04337358369565056,0.2613778130947606,0.0020621664149319294,1.9455343705265615,0.04730903484600746,2.053920673859759,0.18454753920281358,0.0040743994841291285,1.4291996582049027,1.0185675156427432,0.0031402273171686223,0.13273230305103015,0.0027919209644537246,2.6047074984693985,0.007536283162474949,0.18798587333463804,2.830093029872653,1.0765700308401744,0.010165965846873187,0.006561210315814978,0.10515242310246624,0.0,0.24644860952776984,0.2619218868508203,0.760310654348807,0.0,0.03484030810840937,0.019255458720973485,0.006110672173348923,0.0035812511662390283,0.0027590411251235034,0.4870882092932839,0.03003067817402229,0.1055540865013975,0.0,0.25217667280478406,0.023072029649172248,0.36959108078080277,0.6302088863408122,0.0022529592544032104,1.1427340206482783,0.008952198486220447,0.037165172392031244,0.0,0.027543580068609522,0.015748389167762354,0.0023725302600984812,0.009404070041521303,0.7039709173520405,0.015988693090129024,0.1955907449295811,0.004962569914450288,0.0029632293648675563,0.008156437382045674,0.008136289549970145,0.9196914444818762,0.018747060503987913,0.11287193580869109,0.004227870991166291,1.1323479704677044,0.14998621397208828,0.00559215990450741,0.05932350170644442,0.0,0.0641386601822264,0.060500204423029,0.004541680797571067,0.0,0.0,0.011708065126124935,0.5313883620907306,0.013228228303965032,0.7872402119801364,0.20170602418057496,0.7673022467146267,2.317572917398419,0.5382449826139178,0.1822262995658473,0.04406528063015006
3,0.0,0.010606573977924734,0.8234791362069641,0.0,0.008119656408917337,0.0,0.00506698820760296,0.5862488538233359,0.05565690689985994,0.12332366532840779,0.9175940252097836,0.5971682547586584,1.2442700630546653,0.0,0.0,0.40317811261277303,0.48358311795029374,0.0,0.15607832569947555,1.2496049050494928,0.008119656408917337,0.0,0.0,0.0,0.06263852498673673,1.106011001718741,2.7116664695168593,0.0,0.0,0.11697553420790059,0.0,0.09048072041758216,2.2214155551135737,0.014878946149606092,0.06330302442839143,0.07443090622397744,0.006353660335817822,0.0,0.004073599081767148,1.2834176581436891,0.0121929489199911,0.0,0.03425240095701064,0.2625499455556807,0.01361583361501994,0.0,0.22526200575216743,0.04795356751878863,0.014244192008249673,0.023628361903280465,0.0,0.0,0.0,0.6107921893237669,0.0,0.08928829223757156,0.01155082486176802,0.021914695243885365,0.0,0.1849433436781116,0.0,0.0,2.0223773584335523,0.0,0.46710044531058226,0.8372913615551164,0.01571521448547385,0.005711536277594743,0.0,0.0,0.005341434555069381,0.018358028603472916,2.2370026656779993,0.0,0.004073599081767148,0.028731842275739463,0.26861347418051507,0.0035566666404124505,0.7018148724955556,0.19738986568466244,0.005711536277594743,0.011676323049329787,0.017979635446808563,2.077052093281448,0.7735300090241246,0.0,0.0,0.054346177260125146,0.0,0.10177522445676647,0.03390321588014916,0.4566593179744,0.007991953495271965,0.014466514826851164,0.17158480705831516,0.13248418557062913,0.0,0.05551112678517563,0.5375355026440629,0.0,0.004073599081767148,0.17090484400855854,0.03474140635277409,0.026749744058135006,0.024046411368684045,0.020959272898664637,0.005711536277594743,0.0,0.005738358860235984,0.007991953495271965,0.0,0.22830822341471194,0.005192749113261924,0.00506698820760296,0.0,0.46867412648963436,0.4974500130182964,0.05704789398069117,0.04461541260204353,0.1134340492272383,0.0,0.015890732023134367,0.005839288584173277,0.005839288584173277,0.0,0.0,0.2969771069209286,0.0,0.04902113990433889,0.0,0.34994751577946553,0.008119656408917337,0.0,1.8306874832995348,0.0,0.02797265205582751,0.4810238308092015,0.20251223864246737,0.0,0.29902549923011756,0.0,0.0,0.019542778357039985,0.017979635446808563,0.01506237335926023,0.04854987582348664,1.931520695053002,0.009869624245998304,0.1010992999494732,0.022238618775212556,0.0,0.3677344098922813,0.0,2.915908324383406,0.009268202918007194,0.0,1.6637543753085988,0.776217859909531,0.0,0.15280126379334763,0.0,1.4579381223715646,0.0,0.02088318903894558,0.5049520665992041,0.3695119128942863,0.07879995114852041,0.0,0.0,0.0,0.030336677423573353,0.2706361059417309,1.4254030496604195,0.0,0.005839288584173277,0.014163240618337184,0.0,0.030685562248805663,0.03405209216802259,0.07385275391929322,0.16725884431156413,1.2421544356264669,0.0,0.29540706758075275,0.19141240264347936,0.9541119481810706,0.6005075530544058,0.0,0.5287358116709606,0.0,0.0,0.0,0.012326463206854,0.04917865742981489,0.009772130719588717,0.0,0.01155082486176802,0.0,0.005839288584173277,0.0,0.0,0.0,0.012706176017294013,0.09824225248381298,0.022407779380089768,0.00995809868015891,0.058448968743388625,0.04953216386507182,0.16231462391110432,0.0,0.031949257427176185,0.005341434555069381,0.2178130965321427,0.04938742046147365,0.017416411295617346,0.0,0.0,0.0,0.37352045721037447,0.0,0.13273277938433153,0.0,1.1589058128098202,0.8432127063816945,0.12155968099014343,0.12444534892335582,0.06240369535862193
4,0.0,0.25116192436018403,1.2937768964770147,0.0,0.019400592011824917,0.01836514338078105,0.0,0.4138527238123738,0.07407632960544748,0.27702950605617876,1.409286967566975,0.11594737537653411,0.7059412434897784,0.0,0.0,0.09289656101658621,0.07508204642212207,0.0,0.12734275172021198,1.5450308542230362,0.05481372522047796,0.0,0.0,0.0,0.05989963594119794,0.11397261627118771,1.2687635305014355,0.0,0.0,0.09904231549124778,0.0,0.05694789801003056,0.35393373591933347,0.005281641847436277,0.01641405788978915,0.08950281105062909,0.0,0.0,0.02581442294465776,0.5091273372051305,0.0249747694817891,0.02387883211479024,0.0,0.059590824982416746,0.013825103394420588,0.0,0.4100771884431869,0.082268995449412,0.007947664469350371,0.016926989622674863,0.011523567393980305,0.0,0.0,0.1013441747179077,0.03764139040536987,0.034558152867905534,0.0,0.03870572800274241,0.0,0.19352505798055547,0.0036309728930136653,0.0,0.3421669009335523,0.0066096261010080495,0.3800670123915001,2.162304843295584,0.020876193565615667,0.07078093797330334,0.008287220358300696,0.0,0.0,0.08076276252557324,0.24122244914326993,0.0,0.0,0.0,0.3290769630753785,0.026249777999714754,1.1849107309629738,0.17799753792481024,0.009206123027760922,0.02766412436088881,0.0,0.3692475051714614,0.09798636397872276,0.012336483650961579,0.0,0.0493255068732149,0.0,0.026992125926880363,0.09402449770873395,0.33028436801519295,0.0,0.04323612208024425,0.011527182006247466,0.15090405032743068,0.0,0.007210690013797181,0.9407686276992541,0.0,0.06083628698022626,0.20788116393057063,0.01498006527317464,0.02832736351131531,0.037528495423807096,0.01641405788978915,0.0,0.009007459419744753,0.0,0.027662929929215374,0.019631590655703954,0.5537242263144962,0.0,0.03509696151196389,0.0,0.7172901316138297,0.07616287557904987,0.09727896953303726,0.09429139425963393,0.14259133033719085,0.3823565145463917,0.0066096261010080495,0.013568862205736972,0.0,0.02093569876748782,0.04507116113627022,0.004645711036858444,0.0,0.03838786656597566,0.0,0.7069357348674767,0.033997480341815524,0.0,0.21131378620365104,0.0,0.006457822520378489,0.18363814615557747,0.6933697072610959,0.0,0.141333992779832,0.0,0.0,0.011484071003747058,0.11896925892961689,0.04954226123084564,0.0,0.3942536814282148,0.009007459419744753,0.2351648727320934,0.02332628847722645,0.0,0.25773320004023126,0.0,0.453779086469714,0.0,0.0036309728930136653,0.25262550232426406,0.1475559885019435,0.0,0.11364580039471517,0.0,0.3484655476573584,0.008920961518234108,0.039383536886783525,0.43084830032821136,0.1079323789100974,0.008209096388823844,0.0,0.0,0.0,0.11206097740197855,0.18797101547777242,0.4212891594627986,0.0,0.0179200741601947,0.07024228851619597,0.0,0.010240598994021716,0.019400592011824917,0.30886136717253515,0.037595009116334344,0.12769600438330475,0.0,0.4068212193244306,0.044984695047079845,1.359991450411513,0.31989271098548955,0.013821783605006209,0.10403040480048069,0.0,0.0,0.0,0.0,0.022439195842752974,0.0,0.0,0.02901390883281738,0.0,0.0066096261010080495,0.005281641847436277,0.0,0.2290638389606469,0.0,0.14307463368453435,0.0036309728930136653,0.02342036670560843,0.2702994348237625,0.05987644559067334,0.06780143128716438,0.0,0.018213582447505677,0.0,0.0066096261010080495,0.06377816467179213,0.0,0.0,0.0,0.0,0.22218569346715833,0.0,0.09036179820522058,0.0,0.15573134504529368,0.2698150033789762,0.05974763883845986,0.11325246688419499,0.01501261316372519
5,0.0,0.00786969488573258,0.9726308406437135,0.019452360992611575,0.032779057738711335,0.0,0.0,0.14730765894372952,0.1732733231082902,0.3752619101193314,0.7469315827057903,0.04969629205599554,0.26295951508370546,0.017414946210857016,0.0,0.05005858908561119,0.2485905791706412,0.0,0.5503892107382244,1.074518987205755,0.0075490095618509,0.006496518515046995,0.0,0.0,0.35838195575472953,0.3932621200937246,2.940822428622232,0.019724868977830937,0.010407509703825908,0.24265218341643402,0.004061712802640535,1.4765826255447825,2.522763288574118,0.06876175642106426,0.5345638382649373,0.2616172333461238,0.11832017792922161,0.0,0.0,1.3311464071900379,0.10154481617296811,0.026737081624278885,0.0846441176484329,0.17470463439520809,0.02041336941007188,0.0,1.0156044256478491,0.33540318434758476,0.049147179221755224,0.3578509630587306,0.0,0.0,0.0,0.5279170795569886,0.13009225987122805,0.005213281818526438,0.006031142419351377,0.02430742240024763,0.0,0.08883843055627466,0.0,0.0410909347968107,2.112716435513684,0.0,0.34956064343096754,0.9362152712702224,0.23766237712245658,0.014301153888945536,0.0,0.0,0.00989855171381939,0.0,1.243984703424463,0.006195133139678408,0.007091262960566615,0.0062181751580538775,1.6940529682607988,0.009069475643564839,0.6642664369627475,0.8427486655306046,0.24071159435640424,0.0,0.0,1.4148037099703807,0.21800927464223235,0.2722647272014118,0.0,0.07998915175375854,0.0,0.009479879349786328,0.008751936816898882,0.8202521105727513,0.1577575567333829,0.10115436280637186,0.055687722282252675,1.4346456538748733,0.0,0.04049942060840852,2.531062798235171,0.008860322675553615,0.010314606242094413,0.13887113827167075,0.12888431404684525,0.0,0.04337366072620784,0.007091262960566615,0.10138229816984658,0.013494668325706456,0.003618697418768755,0.20846154032828038,0.006086496587340946,0.04396491247833379,0.0,0.0,0.005213281818526438,0.13291655670015765,1.3851339335319193,0.04768612761747804,0.1268421311880219,0.16016221404859501,0.0,0.008860322675553615,0.01194819765377753,0.010864546302277322,0.0,0.0,0.0,0.005776909694412747,0.18120404992948783,0.006528999914435676,0.20523478431123854,0.0956367172448515,0.0,0.881306348224483,0.018296362347929404,0.3014255492705462,1.7425185125841691,0.26672439347014876,0.0,1.4100475181903462,0.0,0.0,0.5100560421138532,0.008840329452476741,0.10562108079531318,0.08572526712886495,2.394714971095743,0.4760021360578243,0.04130436138921089,0.4682263279972326,0.0,1.9594741594896872,0.04357955596195031,0.8147244862609657,0.0,0.022580418305349688,0.7558224584840691,2.1368234649295283,0.0,0.05869057241964731,0.008980594121348821,3.0785480040618345,0.0,0.1632112250708488,2.918638275209975,0.3690746372791472,0.0,0.0,0.017752734434394627,0.006496518515046995,0.9212717496613151,0.412148554252841,0.5878099900898092,0.007091262960566615,0.03964534177707242,0.02997706068219803,0.0,0.005213281818526438,0.009282504110558322,0.5877511611768507,1.5861913384884925,0.3298580967888807,0.0,0.31207786466047127,0.026874747001328716,0.35164771947378376,0.8988869391457233,0.0,0.5107047848515096,0.0,0.003618697418768755,0.0,0.0,0.04435092239716866,0.0,0.07128429377598892,0.16884182833993414,0.0,0.17686112317025596,0.0,0.0,0.014944281133011227,0.013946240481483865,0.03311016219139599,0.08364849949527768,0.06105098642638815,0.008312532756888669,0.9370522699396017,0.1450143908355788,0.0,0.08927902038519084,0.12741650494740897,0.022580540082625646,0.09583127179404743,0.009705194006109702,0.0,0.0,0.017840883446517738,0.46132060782417755,0.010113401975571621,0.876028059335773,0.11472792298448382,1.531053264658033,2.4887333044328566,1.0676240197658464,0.30859690279364255,0.09214120510672612
6,0.0,0.0,0.7343832184773502,0.0,0.045696508159536804,0.0,0.13942573837345465,0.09582760967607035,0.0,0.4904860682163638,1.250260334483637,0.17095125116734883,0.15838206009570735,0.0,0.0,0.03344659350398447,0.0,0.0,0.035007242734367644,0.7511830568833242,0.0,0.0,0.0,0.0,0.27577278070933986,0.0,0.06360181655138473,0.0,0.0,0.18486892106632957,0.0,0.1183388112389778,0.220083346486263,0.0,0.033028922788907074,0.0,0.0,0.0,0.0,0.2886654915871117,0.0,0.0,0.0,0.0,0.0,0.0,0.09701769178231362,0.0,0.0,0.0,0.0,0.0,0.0,0.14882890529378723,0.0,0.0,0.0,0.07412709766601894,0.0,0.0,0.0,0.0,0.8254830704007363,0.0,0.29110574246223353,1.6253261320598904,0.0,0.05164064532751319,0.0,0.0,0.0,0.1166892492976164,0.15147563798008157,0.0,0.0,0.0,0.2846890001001295,0.10130796584604472,0.3748894181621687,0.18333786580259945,0.0,0.0,0.0,0.7832762873172008,0.0,0.033028922788907074,0.0,0.10221161259457777,0.035007242734367644,0.18745837978588464,0.0,0.4181040689951406,0.0,0.05231794208446635,0.04446323414489717,0.0,0.0,0.0,0.6504660738058514,0.0,0.0,0.0,0.09934863530704321,0.0,0.09308828742187047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09955034767143464,0.5002798586676369,0.0,0.10487139842425144,0.175824797199218,0.770817412455629,0.0,0.044839412895798555,0.0,0.0,0.0,0.019582395420845743,0.0,4.966314405995332,0.035215195489599824,0.26623150728327416,0.0,0.0,0.046099885463495936,0.0,0.0,0.26653716028774066,0.1447500133460767,0.0,0.2255658179231828,0.0,0.0,0.342786529154936,0.016386252089570393,0.0,0.0,0.2462298959480575,0.0,0.04493149700161386,0.04208858488640466,0.0,0.9907135261954317,0.0,0.09552935375309167,0.0,0.0,0.044839412895798555,0.3242851481332149,0.0,0.11537464727936687,0.0,0.02980230534123783,0.0,0.050917806318817684,0.2106804126759972,0.019582395420845743,0.033799511210146904,0.0,0.0,0.0,0.0,0.17070639996110376,0.4180435438149204,0.0,0.0,0.033799511210146904,0.0,0.016386252089570393,0.0,0.016386252089570393,0.0,0.016386252089570393,0.0,0.33444127705383614,0.0,0.3057337499194265,0.6523075841916016,0.0,0.05099970253546582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04493149700161386,0.03891190217641911,0.04208858488640466,0.1259642445946753,0.0,0.02770713605363864,0.0,0.0,0.12070844840012178,0.0,0.0,0.0,0.5383033781067819,0.0,0.0,0.17282653169358467,0.0,0.10469837506145277,0.1089454070047591,0.05231794208446635,0.1000746902338199,0.0
