p_val,avg_log10FC,pct.1,pct.2,p_val_adj,cluster,gene
0.004789902131929577,0.08721839422010291,0.642,0.587,1,4,Faf1
0.00480804532685963,0.1581741368400066,0.415,0.194,1,4,Phactr4
0.004809182890023328,0.22658459969124106,0.358,0.185,1,4,Cradd
0.004823190907168257,0.21449869472936317,0.434,0.244,1,4,Arhgap42
0.004827698245229465,0.11814168260622865,0.151,0.036,1,4,0610010K14Rik
0.004869764854660699,0.1515664816701485,0.283,0.118,1,4,Tmf1
0.00495327485450777,0.09040594367576434,0.17,0.021,1,4,Tagln2
0.004963521904058519,0.08446772068579592,0.151,0.027,1,4,Ccdc125
0.004978982009970315,0.12067574268103642,0.396,0.292,1,4,Tmem184b
0.005001028899350146,0.14020570700906154,0.302,0.181,1,4,Dusp22
0.005014460046348656,0.15531590006653267,0.547,0.385,1,4,Man2a1
0.0050265782099536,0.1038203900046409,0.208,0.055,1,4,Hscb
0.005035953787095615,0.16084525620909396,0.226,0.08,1,4,Chchd2
0.00503902164325749,0.12008346805127912,0.264,0.134,1,4,Spata1
0.005044501244686412,0.07564401466494261,0.057,0.002,1,4,Tmem37
0.005089049157777986,0.18916576110321787,0.415,0.293,1,4,Galnt11
0.005092881356907702,0.11924948330200125,0.679,0.582,1,4,Fryl
0.005114393469063513,0.12970547967662344,0.17,0.043,1,4,Tprgl
0.005123170573993684,0.17340947948605728,0.358,0.18,1,4,Tmpo
0.005130310259954985,0.1441385131525898,0.453,0.33,1,4,4930444A19Rik
0.00513072006513395,0.1485751344529016,0.66,0.598,1,4,Iqsec1
0.005130842203588659,0.14091726971714164,0.509,0.375,1,4,Rab14
0.005146161001330858,0.05515337682886512,0.075,0.016,1,4,Tmem106a
0.005147480584591352,0.08291267524838852,0.132,0.033,1,4,Bard1
0.0051563010032055516,0.13761667541643222,0.208,0.088,1,4,Mta2
0.005191684897540887,0.058370334468359875,0.075,0.013,1,4,Il3ra
0.005200958472239374,0.11360354989043567,0.321,0.091,1,4,mt-Nd4
0.00526333711253386,0.1312092518764492,0.34,0.164,1,4,Vps72
0.005299101647247918,0.12022141771879513,0.66,0.377,1,4,Pard3b
0.0052996241423385665,0.11022103611023232,0.358,0.243,1,4,Rnf10
